,A,2019-12-03,,,,,,646022,Nocardia interforma,P,983423,txid1311814,OR,
,A,2019-12-03,,,,,,646032,Nocardia gamkensis,P,983436,txid352869,OR,
,A,2019-12-03,,,,,,646033,Nocardia fusca,P,983437,txid941183,OR,
,A,2019-12-03,,,,,,646034,Nocardia fluminea,P,983438,txid134984,OR,
,A,2019-12-03,,,,,,646035,Nocardia flavorosea,P,983439,txid53429,OR,
,A,2019-12-03,,,,,,646036,Nocardia farcinica,P,983440,txid37329,OR,
,A,2019-12-03,,,,,,646037,Nocardia exalbida,P,983452,txid290231,OR,
,A,2019-12-03,,,,,,646038,Nocardia endophytica,P,983453,txid860242,OR,
,A,2019-12-03,,,,,,646039,Nocardia elegans,P,983454,txid300029,OR,
,A,2019-12-03,,,,,,646040,Nocardia donostiensis,P,983455,txid1538463,OR,
,A,2019-12-03,,,,,,646041,Nocardia devorans,P,983456,txid163673,OR,
,A,2019-12-03,,,,,,646042,Nocardia cyriacigeorgica,P,983457,txid135487,OR,
,A,2019-12-03,,,,,,646043,Nocardia crassostreae,P,983459,txid53428,OR,
,A,2019-12-03,,,,,,646044,Nocardia coubleae,P,983460,txid356147,OR,
,A,2019-12-03,,,,,,646045,Nocardia concava,P,983461,txid257281,OR,
,A,2019-12-03,,,,,,646046,Nocardia coeliaca,P,983462,txid682667,OR,
,A,2019-12-03,,,,,,646047,Nocardia cholesterolicum,P,983466,txid1982944,OR,
,A,2019-12-03,,,,,,646048,Nocardia cerradoensis,P,983467,txid85688,OR,
,A,2019-12-03,,,,,,646049,Nocardia cavernae,P,983468,txid2027872,OR,
,A,2019-12-03,,,,,,646050,Nocardia caverna,P,983469,txid330082,OR,
,A,2019-12-03,,,,,,646051,Nocardia casuarinae,P,983470,txid1463564,OR,
,A,2019-12-03,,,,,,646052,Nocardia carnea,P,983471,txid37328,OR,
,A,2019-12-03,,,,,,646023,Nocardia inohanensis,P,983424,txid209246,OR,
,A,2019-12-03,,,,,,646053,Nocardia canicruria,P,983474,txid1311790,OR,
,A,2019-12-03,,,,,,646054,Nocardia camponoti,P,983476,txid1616106,OR,
,A,2019-12-03,,,,,,646055,Nocardia callitridis,P,983477,txid648753,OR,
,A,2019-12-03,,,,,,646056,Nocardia caishijiensis,P,983478,txid184756,OR,
,A,2019-12-03,,,,,,646057,Nocardia brevicatena,P,983479,txid37327,OR,
,A,2019-12-03,,,,,,643235,Leptospira langatensis,P,979964,txid2484983,OR,
,A,2019-12-03,,,,,,643236,Leptospira koniamboensis,P,979965,txid2484950,OR,
,A,2019-12-03,,,,,,643237,Leptospira kobayashii,P,979966,txid1917830,OR,
,A,2019-12-03,,,,,,643238,Leptospira kmetyi,P,979967,txid408139,OR,
,A,2019-12-03,,,,,,643239,Leptospira kirschneri,P,979968,txid29507,OR,
,A,2019-12-03,,,,,,643240,Leptospira kemamanensis,P,979969,txid2484942,OR,
,A,2019-12-03,,,,,,643241,Leptospira kanakyensis,P,979970,txid2484968,OR,
,A,2019-12-03,,,,,,643242,Leptospira johnsonii,P,979971,txid1917820,OR,
,A,2019-12-03,,,,,,643243,Leptospira jelokensis,P,979972,txid2484931,OR,
,A,2019-12-03,,,,,,643244,Leptospira inadai,P,979973,txid29506,OR,
,A,2019-12-03,,,,,,644782,Phyllobacterium brassicacearum,P,981849,txid314235,OR,
,A,2019-12-03,,,,,,644783,Phyllobacterium bourgognense,P,981850,txid314236,OR,
,A,2019-12-03,,,,,,644784,Phycisphaera mikurensis,P,981851,txid547188,OR,
,A,2019-12-03,,,,,,644785,Phycicoccus soli,P,981852,txid1456769,OR,
,A,2019-12-03,,,,,,644786,Phycicoccus ochangensis,P,981853,txid663580,OR,
,A,2019-12-03,,,,,,644787,Phycicoccus jejuensis,P,981854,txid367299,OR,
,A,2019-12-03,,,,,,644788,Phycicoccus ginsenosidimutans,P,981855,txid490570,OR,
,A,2019-12-03,,,,,,644789,Phycicoccus ginsengisoli,P,981856,txid1462998,OR,
,A,2019-12-03,,,,,,644790,Phycicoccus endophyticus,P,981857,txid1690220,OR,
,A,2019-12-03,,,,,,644791,Phycicoccus dokdonensis,P,981858,txid443156,OR,
,A,2019-12-03,,,,,,644792,Phycicoccus cremeus,P,981859,txid587636,OR,
,A,2019-12-03,,,,,,644793,Phycicoccus bigeumensis,P,981860,txid433644,OR,
,A,2019-12-03,,,,,,644794,Phycicoccus badiiscoriae,P,981861,txid642776,OR,
,A,2019-12-03,,,,,,644795,Phycicoccus aerophilus,P,981862,txid436356,OR,
,A,2019-12-03,,,,,,644796,Phycicoccus aerolatum,P,981863,txid436355,OR,
,A,2019-12-03,,,,,,644797,Phreatobacter stygius,P,981864,txid1940610,OR,
,A,2019-12-03,,,,,,644798,Phreatobacter oligotrophus,P,981865,txid1122261,OR,
,A,2019-12-03,,,,,,644799,Phreatobacter cathodiphilus,P,981866,txid1868589,OR,
,A,2019-12-03,,,,,,644800,Photorhizobium thompsonianum,P,981867,txid29453,OR,
,A,2019-12-03,,,,,,644801,Photorhabdus thracensis,P,981868,txid230089,OR,
,A,2019-12-03,,,,,,644802,Photorhabdus temperata subsp. temperata,P,981871,txid171441,OR,
,A,2019-12-03,,,,,,644803,Photorhabdus temperata subsp. phorame,P,981872,txid433616,OR,
,A,2019-12-03,,,,,,644804,Photorhabdus temperata,P,981873,txid574560,OR,
,A,2019-12-03,,,,,,644805,Photorhabdus tasmaniensis,P,981874,txid1004159,OR,
,A,2019-12-03,,,,,,644806,Photorhabdus stackebrandtii,P,981876,txid1123042,OR,
,A,2019-12-03,,,,,,644807,Photorhabdus noenieputensis,P,981878,txid1208607,OR,
,A,2019-12-03,,,,,,644808,Photorhabdus namnaonensis,P,981880,txid1851568,OR,
,A,2019-12-03,,,,,,644809,Photorhabdus luminescens subsp. sonorensis,P,981882,txid1173677,OR,
,A,2019-12-03,,,,,,644810,Photorhabdus luminescens subsp. luminescens,P,981883,txid171439,OR,
,A,2019-12-03,,,,,,644811,Photorhabdus laumondii subsp. laumondii,P,981884,txid141679,OR,
,A,2019-12-03,,,,,,644812,Photorhabdus laumondii subsp. clarkei,P,981886,txid2029685,OR,
,A,2019-12-03,,,,,,644813,Photorhabdus laumondii,P,981887,txid2218628,OR,
,A,2019-12-03,,,,,,644814,Photorhabdus kleinii,P,981888,txid768034,OR,
,A,2019-12-03,,,,,,644815,Photorhabdus khanii,P,981890,txid1004150,OR,
,A,2019-12-03,,,,,,644816,Photorhabdus kayaii,P,981892,txid230088,OR,
,A,2019-12-03,,,,,,644817,Photorhabdus heterorhabditis,P,981894,txid880156,OR,
,A,2019-12-03,,,,,,644818,Photorhabdus hainanensis,P,981895,txid1004166,OR,
,A,2019-12-03,,,,,,644819,Photorhabdus cinerea,P,981897,txid471575,OR,
,A,2019-12-03,,,,,,644820,Photorhabdus caribbeanensis,P,981899,txid1004165,OR,
,A,2019-12-03,,,,,,644821,Photorhabdus bodei,P,981901,txid2029681,OR,
,A,2019-12-03,,,,,,644822,Photorhabdus australis,P,981902,txid286156,OR,
,A,2019-12-03,,,,,,644823,Photorhabdus asymbiotica subsp. asymbiotica,P,981904,txid171440,OR,
,A,2019-12-03,,,,,,644824,Photorhabdus asymbiotica,P,981905,txid291112,OR,
,A,2019-12-03,,,,,,644825,Photorhabdus akhurstii,P,981906,txid171438,OR,
,A,2019-12-03,,,,,,644826,Photococcus caeruleum,P,981908,txid333370,OR,
,A,2019-12-03,,,,,,644827,Photobacterium toruni,P,981909,txid1935446,OR,
,A,2019-12-03,,,,,,644828,Photobacterium swingsii,P,981910,txid680026,OR,
,A,2019-12-03,,,,,,644829,Photobacterium sanguinicancri,P,981911,txid875932,OR,
,A,2019-12-03,,,,,,644830,Photobacterium sanctipauli,P,981912,txid1342794,OR,
,A,2019-12-03,,,,,,644831,Photobacterium rosenbergii,P,981913,txid294936,OR,
,A,2019-12-03,,,,,,644832,Photobacterium proteolyticum,P,981914,txid1903952,OR,
,A,2019-12-03,,,,,,644833,Photobacterium profundum,P,981915,txid74109,OR,
,A,2019-12-03,,,,,,644834,Photobacterium piscicola,P,981916,txid1378299,OR,
,A,2019-12-03,,,,,,644835,Photobacterium phosphoreum,P,981917,txid659,OR,
,A,2019-12-03,,,,,,644836,Photobacterium panuliri,P,981930,txid1340529,OR,
,A,2019-12-03,,,,,,644837,Photobacterium marinum,P,981931,txid1056511,OR,
,A,2019-12-03,,,,,,644838,Photobacterium malacitanum,P,981932,txid2204294,OR,
,A,2019-12-03,,,,,,644839,Photobacterium lutimaris,P,981933,txid388278,OR,
,A,2019-12-03,,,,,,644840,Photobacterium lipolyticum,P,981934,txid266810,OR,
